,LT_CAGR,WACC,2019_CAGR,Decay,Price,Equity,EV,Rate
159,0.0179,0.0725,0.4136,-1.45,6.77,307.1404882,526.3061054,0.057244256
160,0.016,0.0696,0.3846,-1.36,6.79,308.0781133,527.2437305,0.059382776
161,0.0203,0.0737,0.4546,-1.35,8.22,372.8935633,592.0591804,0.070893896
162,0.02,0.0712,0.4774,-1.01,12.34,560.2888473,779.4544645,0.114171538
163,0.0208,0.0635,0.3648,-1.25,8.95,406.0296502,625.1952674,0.064510262
164,0.0213,0.0687,0.4571,-1.32,9.57,434.5784896,653.7441067,0.073939942
165,0.018,0.055,0.3893,-1.2,11.45,519.9093223,739.0749394,0.073217466
166,0.0194,0.074,0.4812,-1.12,10.44,473.735815,692.9014322,0.099873684
167,0.0223,0.0896,0.3715,-1.3,5.32,241.5792955,460.7449127,0.061749195
168,0.0156,0.0709,0.3769,-1.25,6.94,314.8384884,534.0041056,0.066625561
169,0.0229,0.075,0.4128,-1.28,8.03,364.3417767,583.5073938,0.070235802
170,0.022,0.0671,0.433,-1.07,11.71,531.4505721,750.6161892,0.095927873
171,0.0199,0.0658,0.4474,-1.09,11.7,531.1460726,750.3116898,0.096571251
172,0.0187,0.0664,0.416,-1.07,10.53,477.8851083,697.0507255,0.092202043
173,0.0217,0.0604,0.4284,-1.1,13.14,596.1996653,815.3652825,0.091340129
174,0.0224,0.0719,0.4725,-1.52,8.28,375.8566781,595.0222952,0.060065938
175,0.0201,0.073,0.4775,-1.26,9.41,426.9163003,646.0819175,0.083119842
176,0.0167,0.0606,0.4548,-1.1,12.32,559.0528489,778.2184661,0.096901747
177,0.0208,0.071,0.4929,-1.3,9.96,452.0587646,671.2243818,0.081626018
178,0.0179,0.0729,0.4565,-1.53,7.07,320.7275742,539.8931914,0.057382775
179,0.018,0.0709,0.5134,-1.38,9.26,420.5105603,639.6761775,0.077057198
180,0.0164,0.0717,0.4629,-1.21,9.02,409.2990168,628.464634,0.08579467
181,0.0191,0.063,0.3973,-1.28,9.22,418.6704101,637.8360272,0.067630408
182,0.0207,0.0788,0.4229,-1.17,8.02,364.038022,583.2036392,0.082513833
183,0.0187,0.0718,0.4423,-1.27,8.51,386.2442004,605.4098176,0.076123409
184,0.02,0.087,0.4489,-0.85,10.62,481.8612162,701.0268333,0.132683778
185,0.0162,0.0869,0.3732,-1.34,4.87,221.2108196,440.3764367,0.059064161
186,0.0187,0.064,0.4254,-1.54,8.1,367.4813129,586.6469301,0.052903688
187,0.0183,0.0717,0.3767,-1.17,7.68,348.7316082,567.8972254,0.073595849
188,0.0182,0.0743,0.528,-1.2,10.55,478.8516605,698.0172777,0.098915787
189,0.0174,0.0752,0.4732,-1.22,8.78,398.6106587,617.7762758,0.086588122
190,0.019,0.0625,0.3916,-1.32,8.94,405.6205707,624.7861879,0.063472789
191,0.0226,0.0697,0.3885,-1.28,8.4,381.1448095,600.3104266,0.06615021
192,0.0202,0.0821,0.3776,-1.3,5.94,269.6738413,488.8394585,0.062751192
193,0.0211,0.0773,0.3947,-1.1,8.16,370.4397949,589.6054121,0.084230481
194,0.0201,0.0752,0.3992,-1.23,7.56,342.9922687,562.1578859,0.072296247
195,0.0189,0.0724,0.3988,-1.23,7.78,353.1370657,572.3026829,0.07222466
196,0.0168,0.0829,0.4048,-1.43,5.41,245.5435651,464.7091823,0.057400111
197,0.0175,0.0831,0.4005,-1.26,6.12,277.6804681,496.8460853,0.069875293
198,0.0197,0.0696,0.4327,-1.33,8.49,385.1347052,604.3003224,0.069193111
199,0.0186,0.0669,0.4458,-1.09,11.06,501.8984101,721.0640273,0.096229888
200,0.0182,0.0849,0.4514,-1.07,8.29,376.2905794,595.4561965,0.09995726
201,0.0212,0.077,0.4649,-1.18,9.27,420.7178003,639.8834175,0.089468046
202,0.0223,0.0504,0.4055,-1.29,14.97,679.3670468,898.5326639,0.068163352
203,0.0205,0.063,0.418,-1.17,10.94,496.5823029,715.7479201,0.08156899
204,0.0219,0.0774,0.4114,-0.75,12.86,583.631544,802.7971612,0.139278952
205,0.0204,0.0612,0.3728,-1.03,11.38,516.3276712,735.4932884,0.087096267
206,0.0163,0.0691,0.5119,-1.3,9.85,446.8704115,666.0360287,0.084724943
207,0.0201,0.0585,0.4121,-1.27,11.1,503.8677945,723.0334117,0.07098988
208,0.0206,0.0641,0.3868,-1.27,9.15,415.3044164,634.4700336,0.066682686
209,0.0199,0.0652,0.3937,-1.36,8.39,380.602118,599.7677352,0.060770179
210,0.022,0.0727,0.4798,-1.28,9.73,441.6813007,660.8469179,0.081472312
211,0.0226,0.068,0.3733,-1.34,8.08,366.6189896,585.7846068,0.0590798
212,0.0195,0.0566,0.428,-1.14,13.2,599.3573032,818.5229203,0.086725409
213,0.0218,0.0697,0.4697,-1.12,11.57,524.9671338,744.132751,0.097516306
214,0.0206,0.0656,0.4567,-1.23,10.81,490.8440186,710.0096358,0.082571023
215,0.0202,0.0767,0.4688,-1.49,7.26,329.4719203,548.6375375,0.061755436
216,0.0181,0.0647,0.4233,-1.24,9.51,431.667116,650.8327331,0.07565852
217,0.0203,0.0774,0.4416,-1.33,7.53,341.6997623,560.8653795,0.070596936
218,0.02,0.068,0.4046,-1.61,7,317.8047672,536.9703844,0.046405508
219,0.0214,0.0765,0.4731,-1.31,8.58,389.5464186,608.7120358,0.077435344
220,0.0198,0.0713,0.4045,-1,10.09,458.1779432,677.3435604,0.098175618
221,0.0217,0.0775,0.4489,-1.05,10.07,457.1629568,676.3285739,0.102004108
222,0.0221,0.071,0.47,-1.08,11.79,535.2773675,754.4429846,0.102698963
223,0.0193,0.078,0.3568,-1.24,6.2,281.326369,500.4919862,0.063899409
224,0.0207,0.0741,0.4173,-1.23,8.21,372.4535093,591.6191265,0.075533962
225,0.0215,0.076,0.424,-1.04,9.71,440.6649787,659.8305958,0.097659113
226,0.0193,0.0517,0.4369,-1.13,15.61,708.5756209,927.741238,0.08963815
227,0.0188,0.0544,0.3769,-1.15,12,544.802378,763.9679952,0.075517072
228,0.0197,0.0673,0.5119,-1.24,11.53,523.2250953,742.3907124,0.091260751
229,0.0206,0.0678,0.4745,-1.15,11.54,523.6580337,742.8236508,0.094817023
230,0.0205,0.0655,0.4007,-1.26,9.2,417.8115653,636.9771825,0.069909766
231,0.0215,0.0603,0.4923,-1.17,14.38,652.7615556,871.9271728,0.095871026
232,0.02,0.0742,0.4826,-1.18,9.97,452.5504753,671.7160924,0.092828989
233,0.019,0.0673,0.4878,-1.35,9.83,446.1401061,665.3057233,0.075993784
234,0.0201,0.0683,0.4758,-1.2,10.83,491.5980847,710.7637018,0.089265374
235,0.0211,0.0776,0.4402,-1.25,8.08,366.8996225,586.0652396,0.077668588
236,0.0194,0.0674,0.4276,-1.38,8.43,382.7788978,601.944515,0.064351379
237,0.0227,0.0751,0.4295,-1.31,8.14,369.3755585,588.5411756,0.070392055
238,0.017,0.0703,0.421,-1.18,8.62,391.2355007,610.4011179,0.081119268
239,0.0205,0.068,0.3609,-1.11,8.76,397.4929897,616.6586069,0.07611131
240,0.0193,0.0715,0.4196,-1.19,8.72,395.9174446,615.0830617,0.079842637
241,0.0197,0.0812,0.437,-1.64,5.61,254.7505419,473.9161591,0.04836027
242,0.0206,0.0753,0.409,-1.12,8.59,389.7055631,608.8711803,0.085052061
243,0.0229,0.0778,0.4921,-1.2,9.92,450.4180167,669.5836339,0.092281498
244,0.0245,0.071,0.3993,-1.23,9.1,412.8226339,631.988251,0.072314144
245,0.0187,0.0808,0.4128,-1.03,8.29,376.2310443,595.3966615,0.096344113
246,0.0185,0.0671,0.4418,-1.24,9.54,432.9534279,652.119045,0.078922318
247,0.0191,0.0634,0.459,-1.2,11.31,513.3599786,732.5255957,0.086154141
248,0.0202,0.0775,0.4304,-1.42,6.84,310.4328047,529.5984218,0.061715838
249,0.023,0.0697,0.4967,-1.4,10.04,455.7575538,674.9231709,0.072806063
250,0.0182,0.073,0.4411,-1.01,10.42,473.0633805,692.2289976,0.105581679
251,0.0185,0.0636,0.4629,-0.99,13.71,622.3034268,841.469044,0.113665719
252,0.0227,0.071,0.3331,-1.13,7.82,354.9419164,574.1075335,0.068538307
253,0.0221,0.0699,0.4418,-1.38,8.78,398.6125182,617.7781354,0.066458533
254,0.0198,0.0665,0.486,-1.42,9.64,437.7183821,656.8839993,0.069564828
255,0.0219,0.0643,0.4003,-1.32,9.41,427.1220735,646.2876907,0.064865331
256,0.0177,0.0705,0.4574,-1.43,7.89,358.0012748,577.166892,0.064748321
257,0.0197,0.0764,0.4379,-1.03,9.79,444.3905593,663.5561764,0.10213867
258,0.0234,0.0803,0.5184,-1.39,8.68,394.066234,613.2318512,0.076859151
259,0.0169,0.0647,0.4546,-1.19,10.42,473.1272674,692.2928845,0.086417003
260,0.0186,0.0723,0.5222,-1.39,9.24,419.3140001,638.4796172,0.077413498
261,0.0203,0.0632,0.428,-1.13,11.49,521.7494004,740.9150176,0.087833291
