Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
China,CHN,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,1516.21365627358,1634.28141571017,1844.85060512814,2077.95352562451,2323.30143320669,2550.85516947416,2774.78385616044,2999.9494120691,3204.65186970179,3419.05533637051,3678.16036628891,3954.55816010924,4285.25585406784,4685.36297905006,5126.90246171669,5675.4514020204,6359.95376925185,7224.91436607109,7879.71689487219,8564.58978900137,9429.50114854714,10274.4943512259,11016.9890595931,11805.0866024099,12599.181827839,..
China,CHN,Trade (% of GDP),NE.TRD.GNFS.ZS,12.5230688109676,15.0119434066271,14.4627789236827,14.3935337037285,16.619846947954,22.8619785617098,25.0310414403228,25.4846226305961,25.3094145459602,24.3173027974933,29.6154849981091,33.0013016373227,33.6910703664434,31.7275780240568,42.0595712717398,38.4426253643886,33.7194696831037,33.9511138808629,31.6311612241219,33.1488661979405,39.3612511187526,38.2546902885997,42.4606204856118,51.6118379140714,59.4465088380382,62.8964183160674,64.7694579443031,62.2805662575172,56.8020535296259,43.5866134863605,49.3325182207027,48.8309268089651,45.7123531879164,43.9048737458818,41.5383880056118,..
China,CHN,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,-0.606380174004746,-0.00204160797043752,1.05569098068629,0.27612289979249,-0.553533620248259,-4.96576289560725,-4.0373273319882,-1.19151889739056,-1.9111190575521,-1.42712532840266,2.19182606009279,1.95656641775707,0.860785494471393,-1.97442314134269,0.952752395810118,2.29626139787796,1.42373516011083,4.22286430104684,4.23815172995522,2.68706264823252,2.00007416590914,1.69147840218227,2.08062676649973,1.53209543322355,1.6597765974922,4.50488929819824,6.5336865502815,7.58527181241358,6.58825592727679,3.88026369299816,3.01380490238516,2.08194800087168,2.72564352026119,2.73698346838735,3.69820571829875,..
China,CHN,Cash surplus/deficit (% of GDP),GC.BAL.CASH.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
China,CHN,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,35.1458827664997,33.2822931340724,33.4558409900619,34.1220965258719,34.80481020716,38.2471045033684,38.2382042526773,36.8693295433888,37.7469190986087,37.0543524689444,35.9374250970742,35.934324404558,37.2624065789134,44.2449253046506,41.9753774277955,41.6656033554829,40.2179334742631,37.7290553257921,36.8907104662026,36.5365787130618,34.9209180937758,36.0653448250845,37.6564023735145,40.9791410072596,43.038091975579,41.8819702973386,42.7067586969566,41.3937368339755,43.6699484170093,47.5837179844759,47.3471486147081,47.1665347121137,47.324908099934,47.6780902151492,46.1822445300223,..
China,CHN,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,0.211250693941572,0.277789666858717,0.487441697689534,0.539548014350683,0.627497874573857,0.852773883118118,1.02792779509075,0.980756346825335,0.971381626292818,1.14456577835628,2.62534847035093,6.21281966147116,6.00912960280316,4.89721730547131,4.66751181672239,4.61687260526631,4.26723745666129,3.55712541621529,3.18597467655145,3.32081121588386,3.37285435413918,2.99751416884942,3.19856746072957,4.58911858231899,4.88216455639942,4.43500290485823,3.7630195027209,2.59035738581318,4.03505321063732,3.73806816656763,2.85068081528758,3.06543687186366,2.79190612286994,..
China,CHN,GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,..,..,..,..,..,..,..,..,..,..,1.97682254136837,2.21792416417272,2.45120960302048,2.6365661642435,2.84661488739608,2.94267842320451,3.14766242573111,3.44170510092888,3.6872746867163,3.89326715022447,4.00095318959733,4.24054700145563,4.37888077784957,4.23129112489164,4.05433871670004,4.16793965099785,4.30262840645349,4.65964096406025,4.99924587408361,5.05978113733762,5.10879919693374,5.15167290992584,5.298871912898,5.30263053825217,..,..
China,CHN,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,40.1791458607962,38.2655725077071,37.0587323457716,36.2963183780708,35.198760181559,34.6399804643857,34.8644072151948,34.3304094379534,34.4693907529915,34.1077452121964,32.47397769291,32.3181132835514,32.5613966669499,33.7880203297461,33.4464219225912,33.4689805970247,33.326422481882,32.9921560113056,31.6605550276437,31.4127750214275,31.9381024090891,31.4593001467302,31.2413454951158,32.6701143385621,32.199046687789,32.3396155373064,32.7180033732035,32.633813421715,32.3721991705175,31.8602988694242,31.8614683678036,31.6164573708981,31.0139776672345,30.1032574597167,..,..
"Korea, Rep.",KOR,"GDP per capita, PPP (constant 2011 international $)",NY.GDP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,12086.7623814857,13130.1306704332,13743.5515574135,14465.7401364138,15577.1377488113,16798.3945714228,17834.7750358625,18687.2036225741,17492.7053362069,19232.5846031915,20756.7757862301,21536.081944939,23008.0783723642,23565.6093049715,24627.6106251245,25541.4647476658,26733.6452371542,28063.2681787932,28650.2823969638,28716.0978883973,30440.4012736721,31327.1268995123,31901.0729273983,32684.3190816609,33629.4188962566,..
"Korea, Rep.",KOR,Trade (% of GDP),NE.TRD.GNFS.ZS,67.814166253897,69.3091998829022,64.3993110473688,62.5929881521987,62.4732268944687,59.0103172290301,61.5402174952901,64.4187111958151,60.8738195394726,55.1531656550212,52.7846870864648,51.3037205664761,50.3360928909168,48.6582733927283,49.8642367205822,54.31564780325,54.7082016506677,60.2318711739287,72.9054546963905,65.4302324173515,67.9472027418805,63.9110718827816,60.153734111751,63.3930123906884,72.7610863105515,71.1842924522609,73.5513499961596,77.2430170184206,99.9335441209997,90.4126376499317,95.6540937068287,110.000052525698,109.88622073465,102.770752908785,95.9467448847805,..
